Source,Study,ControlSite,ControlID,Group,SpeciesCode,SpeciesName,Continent,Country,Longitude,Latitude,LocationUncertainty,StudyYear,YearsInStudy,InfraN,ControlN,InfraD,ControlD,InfraAbundance_original,ControlAbundance_original,AbundanceUnit,InfraSD_original,ControlSD_original,SDEstimate,InfraA,ControlA,InfraSD,ControlSD,MaxDist,Dist,MinDist,MaxCDist,CDist,MinCDist,Habitat,InfraType,StudyQualityA,StudyQualityB,Note
Goosem 2000,109f,109f,109fm23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,3.0095,2.4762,individuals,1.2344,0.6731,From SE,3.0095,2.4762,1.2344,0.6731,NA,6,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, wide"
Goosem 2000,109f,109f,109fm23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,2.8571,2.4762,individuals,1.1865,0.6731,From SE,2.8571,2.4762,1.1865,0.6731,NA,26,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, wide"
Goosem 2000,109f,109f,109fm23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,2.019,2.4762,individuals,0.5805,0.6731,From SE,2.019,2.4762,0.5805,0.6731,NA,86,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, wide"
Goosem 2000,109f,109f,109fm23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,2.4762,2.4762,individuals,0.6731,0.6731,From SE,2.4762,2.4762,0.6731,0.6731,NA,106,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, wide"
Goosem 2000,109f,109f,109fm25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,0.6857,0.6476,individuals,0.4325,0.2571,From SE,0.6857,0.6476,0.4325,0.2571,NA,6,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, wide"
Goosem 2000,109f,109f,109fm25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,0.4952,0.6476,individuals,0.5693,0.2571,From SE,0.4952,0.6476,0.5693,0.2571,NA,26,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, wide"
Goosem 2000,109f,109f,109fm25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,0.381,0.6476,individuals,0.2664,0.2571,From SE,0.381,0.6476,0.2664,0.2571,NA,86,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, wide"
Goosem 2000,109f,109f,109fm25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,0.6476,0.6476,individuals,0.2571,0.2571,From SE,0.6476,0.6476,0.2571,0.2571,NA,106,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, wide"
Goosem 2000,109g,109g,109gm24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.63,-16.8,1000,1992-1993,1,10,10,1,1,0.7047,1.0857,individuals,0.4752,0.5278,From SE,0.7047,1.0857,0.4752,0.5278,NA,6,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site1, narrow"
Goosem 2000,109g,109g,109gm24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.63,-16.8,1000,1992-1993,1,10,10,1,1,1.2762,1.0857,individuals,0.5447,0.5278,From SE,1.2762,1.0857,0.5447,0.5278,NA,26,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site1, narrow"
Goosem 2000,109g,109g,109gm24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.63,-16.8,1000,1992-1993,1,10,10,1,1,1.5046,1.0857,individuals,0.5049,0.5278,From SE,1.5046,1.0857,0.5049,0.5278,NA,86,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site1, narrow"
Goosem 2000,109g,109g,109gm24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.63,-16.8,1000,1992-1993,1,10,10,1,1,1.0857,1.0857,individuals,0.5278,0.5278,From SE,1.0857,1.0857,0.5278,0.5278,NA,106,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site1, narrow"
Goosem 2000,109g,109g,109gm23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.63,-16.8,1000,1992-1993,1,10,10,1,1,2.6095,2.8764,individuals,0.7324,0.3371,From SE,2.6095,2.8764,0.7324,0.3371,NA,6,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site1, narrow"
Goosem 2000,109g,109g,109gm23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.63,-16.8,1000,1992-1993,1,10,10,1,1,2.7239,2.8764,individuals,0.7222,0.3371,From SE,2.7239,2.8764,0.7222,0.3371,NA,26,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site1, narrow"
Goosem 2000,109g,109g,109gm23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.63,-16.8,1000,1992-1993,1,10,10,1,1,3.8667,2.8764,individuals,1.6657,0.3371,From SE,3.8667,2.8764,1.6657,0.3371,NA,86,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site1, narrow"
Goosem 2000,109g,109g,109gm23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.63,-16.8,1000,1992-1993,1,10,10,1,1,2.8764,2.8764,individuals,0.3371,0.3371,From SE,2.8764,2.8764,0.3371,0.3371,NA,106,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site1, narrow"
Goosem 2000,109g,109g,109gm25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.63,-16.8,1000,1992-1993,1,10,10,1,1,0.3999,0.6653,individuals,0.254,0.7797,From SE,0.3999,0.6653,0.254,0.7797,NA,6,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site1, narrow"
Goosem 2000,109g,109g,109gm25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.63,-16.8,1000,1992-1993,1,10,10,1,1,0.4002,0.6653,individuals,0.2303,0.7797,From SE,0.4002,0.6653,0.2303,0.7797,NA,26,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site1, narrow"
Goosem 2000,109g,109g,109gm25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.63,-16.8,1000,1992-1993,1,10,10,1,1,0.1305,0.6653,individuals,0.3671,0.7797,From SE,0.1305,0.6653,0.3671,0.7797,NA,86,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site1, narrow"
Goosem 2000,109g,109g,109gm25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.63,-16.8,1000,1992-1993,1,10,10,1,1,0.6653,0.6653,individuals,0.7797,0.7797,From SE,0.6653,0.6653,0.7797,0.7797,NA,106,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site1, narrow"
Goosem 2000,109h,109h,109hm24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,1.7205,3.3966,individuals,0.9734,1.3782,From SE,1.7205,3.3966,0.9734,1.3782,NA,6,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, narrow"
Goosem 2000,109h,109h,109hm24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,2.3681,3.3966,individuals,1.0886,1.3782,From SE,2.3681,3.3966,1.0886,1.3782,NA,26,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, narrow"
Goosem 2000,109h,109h,109hm24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,3.8539,3.3966,individuals,0.9382,1.3782,From SE,3.8539,3.3966,0.9382,1.3782,NA,86,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, narrow"
Goosem 2000,109h,109h,109hm24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,3.3966,3.3966,individuals,1.3782,1.3782,From SE,3.3966,3.3966,1.3782,1.3782,NA,106,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, narrow"
Goosem 2000,109h,109h,109hm23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,2.3299,2.2538,individuals,1.3036,0.7093,From SE,2.3299,2.2538,1.3036,0.7093,NA,6,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, narrow"
Goosem 2000,109h,109h,109hm23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,4.2347,2.2538,individuals,1.9382,0.7093,From SE,4.2347,2.2538,1.9382,0.7093,NA,26,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, narrow"
Goosem 2000,109h,109h,109hm23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,1.6061,2.2538,individuals,0.9153,0.7093,From SE,1.6061,2.2538,0.9153,0.7093,NA,86,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, narrow"
Goosem 2000,109h,109h,109hm23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,2.2538,2.2538,individuals,0.7093,0.7093,From SE,2.2538,2.2538,0.7093,0.7093,NA,106,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, narrow"
Goosem 2000,109h,109h,109hm25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,0.349,0.716,individuals,0.2659,0.8279,From SE,0.349,0.716,0.2659,0.8279,NA,6,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, narrow"
Goosem 2000,109h,109h,109hm25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,0.349,0.716,individuals,0.2647,0.8279,From SE,0.349,0.716,0.2647,0.8279,NA,26,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, narrow"
Goosem 2000,109h,109h,109hm25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,0.4633,0.716,individuals,0.3325,0.8279,From SE,0.4633,0.716,0.3325,0.8279,NA,86,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, narrow"
Goosem 2000,109h,109h,109hm25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.58,-16.75,1000,1992-1993,1,10,10,1,1,0.716,0.716,individuals,0.8279,0.8279,From SE,0.716,0.716,0.8279,0.8279,NA,106,NA,NA,106,NA,Mesophyll vine forest,Gravel road,1,0,"Site4, narrow"
Goosem 2002,110a,110a,110am24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,1.4655,1.3594,individuals,1.7383,1.0678,From SE,1.4655,1.3594,1.7383,1.0678,NA,1,NA,211,NA,155,Vine forest,Gravel road,1,1,Danbulla tourist drive
Goosem 2002,110a,110a,110am24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,2,1.3594,individuals,1.678,1.0678,From SE,2,1.3594,1.678,1.0678,NA,8,NA,211,NA,155,Vine forest,Gravel road,1,1,Danbulla tourist drive
Goosem 2002,110a,110a,110am24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,1.6034,1.3594,individuals,1.3431,1.0678,From SE,1.6034,1.3594,1.3431,1.0678,NA,16,NA,211,NA,155,Vine forest,Gravel road,1,1,Danbulla tourist drive
Goosem 2002,110a,110a,110am24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,1.9138,1.3594,individuals,2.102,1.0678,From SE,1.9138,1.3594,2.102,1.0678,NA,24,NA,211,NA,155,Vine forest,Gravel road,1,1,Danbulla tourist drive
Goosem 2002,110a,110a,110am24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,64,64,1,1,1.3594,1.3594,individuals,1.0678,1.0678,From SE,1.3594,1.3594,1.0678,1.0678,211,NA,155,211,NA,155,Vine forest,Gravel road,1,1,Danbulla tourist drive
Goosem 2002,110a,110a,110am23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.1897,0.5369,individuals,0.7266,0.6859,From SE,0.1897,0.5369,0.7266,0.6859,NA,1,NA,211,NA,155,Vine forest,Gravel road,1,1,Danbulla tourist drive
Goosem 2002,110a,110a,110am23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.6034,0.5369,individuals,0.8139,0.6859,From SE,0.6034,0.5369,0.8139,0.6859,NA,8,NA,211,NA,155,Vine forest,Gravel road,1,1,Danbulla tourist drive
Goosem 2002,110a,110a,110am23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.4828,0.5369,individuals,0.7072,0.6859,From SE,0.4828,0.5369,0.7072,0.6859,NA,16,NA,211,NA,155,Vine forest,Gravel road,1,1,Danbulla tourist drive
Goosem 2002,110a,110a,110am23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.431,0.5369,individuals,0.9026,0.6859,From SE,0.431,0.5369,0.9026,0.6859,NA,24,NA,211,NA,155,Vine forest,Gravel road,1,1,Danbulla tourist drive
Goosem 2002,110a,110a,110am23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,64,64,1,1,0.5369,0.5369,individuals,0.6859,0.6859,From SE,0.5369,0.5369,0.6859,0.6859,211,NA,155,211,NA,155,Vine forest,Gravel road,1,1,Danbulla tourist drive
Goosem 2002,110a,110a,110am25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.2931,0.5156,individuals,0.8426,0.8165,From SE,0.2931,0.5156,0.8426,0.8165,NA,1,NA,211,NA,155,Vine forest,Gravel road,1,1,Danbulla tourist drive
Goosem 2002,110a,110a,110am25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.2931,0.5156,individuals,1.6251,0.8165,From SE,0.2931,0.5156,1.6251,0.8165,NA,8,NA,211,NA,155,Vine forest,Gravel road,1,1,Danbulla tourist drive
Goosem 2002,110a,110a,110am25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.3103,0.5156,individuals,0.8284,0.8165,From SE,0.3103,0.5156,0.8284,0.8165,NA,16,NA,211,NA,155,Vine forest,Gravel road,1,1,Danbulla tourist drive
Goosem 2002,110a,110a,110am25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.1897,0.5156,individuals,0.5984,0.8165,From SE,0.1897,0.5156,0.5984,0.8165,NA,24,NA,211,NA,155,Vine forest,Gravel road,1,1,Danbulla tourist drive
Goosem 2002,110a,110a,110am25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.5156,0.5156,individuals,0.8165,0.8165,From SE,0.5156,0.5156,0.8165,0.8165,211,NA,155,211,NA,155,Vine forest,Gravel road,1,1,Danbulla tourist drive
Goosem 2002,110b,110b,110bm24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.6307,1.3594,individuals,1.2348,1.0678,From SE,0.6307,1.3594,1.2348,1.0678,NA,1,NA,211,NA,155,Vine forest,Gravel road,1,1,Kauri creek road
Goosem 2002,110b,110b,110bm24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,1.0568,1.3594,individuals,1.2596,1.0678,From SE,1.0568,1.3594,1.2596,1.0678,NA,8,NA,211,NA,155,Vine forest,Gravel road,1,1,Kauri creek road
Goosem 2002,110b,110b,110bm24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,1.1932,1.3594,individuals,1.7927,1.0678,From SE,1.1932,1.3594,1.7927,1.0678,NA,16,NA,211,NA,155,Vine forest,Gravel road,1,1,Kauri creek road
Goosem 2002,110b,110b,110bm24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,1.6875,1.3594,individuals,1.4404,1.0678,From SE,1.6875,1.3594,1.4404,1.0678,NA,24,NA,211,NA,155,Vine forest,Gravel road,1,1,Kauri creek road
Goosem 2002,110b,110b,110bm24,Mammals,m24,Rattus leucopus & Rattus fuscipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,1.3594,1.3594,individuals,1.0678,1.0678,From SE,1.3594,1.3594,1.0678,1.0678,211,NA,155,211,NA,155,Vine forest,Gravel road,1,1,Kauri creek road
Goosem 2002,110b,110b,110bm23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.2557,0.5369,individuals,0.5831,0.6859,From SE,0.2557,0.5369,0.5831,0.6859,NA,1,NA,211,NA,155,Vine forest,Gravel road,1,1,Kauri creek road
Goosem 2002,110b,110b,110bm23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.75,0.5369,individuals,1.7343,0.6859,From SE,0.75,0.5369,1.7343,0.6859,NA,8,NA,211,NA,155,Vine forest,Gravel road,1,1,Kauri creek road
Goosem 2002,110b,110b,110bm23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.4432,0.5369,individuals,1.1147,0.6859,From SE,0.4432,0.5369,1.1147,0.6859,NA,16,NA,211,NA,155,Vine forest,Gravel road,1,1,Kauri creek road
Goosem 2002,110b,110b,110bm23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.6818,0.5369,individuals,1.1795,0.6859,From SE,0.6818,0.5369,1.1795,0.6859,NA,24,NA,211,NA,155,Vine forest,Gravel road,1,1,Kauri creek road
Goosem 2002,110b,110b,110bm23,Mammals,m23,Melomys cervinipes,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.5369,0.5369,individuals,0.6859,0.6859,From SE,0.5369,0.5369,0.6859,0.6859,211,NA,155,211,NA,155,Vine forest,Gravel road,1,1,Kauri creek road
Goosem 2002,110b,110b,110bm25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.1619,0.5156,individuals,0.8093,0.8165,From SE,0.1619,0.5156,0.8093,0.8165,NA,1,NA,211,NA,155,Vine forest,Gravel road,1,1,Kauri creek road
Goosem 2002,110b,110b,110bm25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.2898,0.5156,individuals,1.1815,0.8165,From SE,0.2898,0.5156,1.1815,0.8165,NA,8,NA,211,NA,155,Vine forest,Gravel road,1,1,Kauri creek road
Goosem 2002,110b,110b,110bm25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,1.1761,0.5156,individuals,1.3366,0.8165,From SE,1.1761,0.5156,1.3366,0.8165,NA,16,NA,211,NA,155,Vine forest,Gravel road,1,1,Kauri creek road
Goosem 2002,110b,110b,110bm25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.733,0.5156,individuals,1.0455,0.8165,From SE,0.733,0.5156,1.0455,0.8165,NA,24,NA,211,NA,155,Vine forest,Gravel road,1,1,Kauri creek road
Goosem 2002,110b,110b,110bm25,Mammals,m25,Uromys caudimaculatus,Oceania,Australia,145.62,-17.13,10000,1998-1999,2,16,64,1,1,0.5156,0.5156,individuals,0.8165,0.8165,From SE,0.5156,0.5156,0.8165,0.8165,211,NA,155,211,NA,155,Vine forest,Gravel road,1,1,Kauri creek road
Ji et al. 2017,114a,114a,114am85,Mammals,m85,Rhombomys opimus,Asia,China,89.35,45.43,150000,NA,NA,6,3,1,1,5.16,5.01,animals trapped,3.04,2.6,From SE,5.16,5.01,3.04,2.6,50,35,20,110,95,80,Desert,Unpaved road,1,0,Countryside road
Ji et al. 2017,114a,114a,114am85,Mammals,m85,Rhombomys opimus,Asia,China,89.35,45.43,150000,NA,NA,3,3,1,1,5.01,5.01,animals trapped,2.6,2.6,From SE,5.01,5.01,2.6,2.6,110,95,80,110,95,80,Desert,Unpaved road,1,0,Countryside road
Ji et al. 2017,114a,114a,114am86,Mammals,m86,Allactaga sibirica,Asia,China,89.35,45.43,150000,NA,NA,6,3,1,1,1.18,2.64,animals trapped,1.42,3.1,From SE,1.18,2.64,1.42,3.1,50,35,20,110,95,80,Desert,Unpaved road,1,0,Countryside road
Ji et al. 2017,114a,114a,114am86,Mammals,m86,Allactaga sibirica,Asia,China,89.35,45.43,150000,NA,NA,3,3,1,1,2.64,2.64,animals trapped,3.1,3.1,From SE,2.64,2.64,3.1,3.1,110,95,80,110,95,80,Desert,Unpaved road,1,0,Countryside road
Ji et al. 2017,114b,114b,114bm85,Mammals,m85,Rhombomys opimus,Asia,China,89.35,45.43,150000,NA,NA,6,3,1,1,1.21,1.67,animals trapped,0.96,1.54,From SE,1.21,1.67,0.96,1.54,50,35,20,110,95,80,Desert,Paved road,1,0,County road
Ji et al. 2017,114b,114b,114bm85,Mammals,m85,Rhombomys opimus,Asia,China,89.35,45.43,150000,NA,NA,3,3,1,1,1.67,1.67,animals trapped,1.54,1.54,From SE,1.67,1.67,1.54,1.54,110,95,80,110,95,80,Desert,Paved road,1,0,County road
Ji et al. 2017,114b,114b,114bm86,Mammals,m86,Allactaga sibirica,Asia,China,89.35,45.43,150000,NA,NA,6,3,1,1,5.18,6,animals trapped,1.57,2.67,From SE,5.18,6,1.57,2.67,50,35,20,110,95,80,Desert,Paved road,1,0,County road
Ji et al. 2017,114b,114b,114bm86,Mammals,m86,Allactaga sibirica,Asia,China,89.35,45.43,150000,NA,NA,3,3,1,1,6,6,animals trapped,2.67,2.67,From SE,6,6,2.67,2.67,110,95,80,110,95,80,Desert,Paved road,1,0,County road
Ji et al. 2017,114c,114c,114cm85,Mammals,m85,Rhombomys opimus,Asia,China,89.35,45.43,150000,NA,NA,6,3,1,1,1.17,1.67,animals trapped,1.15,2.96,From SE,1.17,1.67,1.15,2.96,50,35,20,110,95,80,Desert,Highway,1,0,Highway
Ji et al. 2017,114c,114c,114cm85,Mammals,m85,Rhombomys opimus,Asia,China,89.35,45.43,150000,NA,NA,3,3,1,1,1.67,1.67,animals trapped,2.96,2.96,From SE,1.67,1.67,2.96,2.96,110,95,80,110,95,80,Desert,Highway,1,0,Highway
Ji et al. 2017,114c,114c,114cm86,Mammals,m86,Allactaga sibirica,Asia,China,89.35,45.43,150000,NA,NA,6,3,1,1,3.79,4.36,animals trapped,0.86,1.11,From SE,3.79,4.36,0.86,1.11,50,35,20,110,95,80,Desert,Highway,1,0,Highway
Ji et al. 2017,114c,114c,114cm86,Mammals,m86,Allactaga sibirica,Asia,China,89.35,45.43,150000,NA,NA,3,3,1,1,4.36,4.36,animals trapped,1.11,1.11,From SE,4.36,4.36,1.11,1.11,110,95,80,110,95,80,Desert,Highway,1,0,Highway
Garcia et al. 2007,121a,121a,121ar79,Reptiles,r79,Gallotia galloti,Europe,Spain,-16.23,28.52,5000,1998,1,17,10,1,1,7.32,1.85,lizards/0.1ha,8.31,3.05,From boxplot,7.32,1.85,8.31,3.05,50,28,5,NA,500,NA,Laurel forest,Paved road,1,0,NA
Garcia et al. 2007,121a,121a,121ar79,Reptiles,r79,Gallotia galloti,Europe,Spain,-16.23,28.52,5000,1998,1,10,10,1,1,1.85,1.85,lizards/0.1ha,3.05,3.05,From study,1.85,1.85,3.05,3.05,NA,500,NA,NA,500,NA,Laurel forest,Paved road,1,0,NA
Garcia et al. 2007,121b,121b,121br79,Reptiles,r79,Gallotia galloti,Europe,Spain,-16.23,28.52,5000,1998,1,17,10,1,1,4.98,1.85,lizards/0.1ha,2.96,3.05,From boxplot,4.98,1.85,2.96,3.05,50,28,5,NA,500,NA,Laurel forest,Unpaved road,1,0,NA
Garcia et al. 2007,121b,121b,121br79,Reptiles,r79,Gallotia galloti,Europe,Spain,-16.23,28.52,5000,1998,1,10,10,1,1,1.85,1.85,lizards/0.1ha,3.05,3.05,From study,1.85,1.85,3.05,3.05,NA,500,NA,NA,500,NA,Laurel forest,Unpaved road,1,0,NA
Garcia et al. 2007,121c,121c,121cr79,Reptiles,r79,Gallotia galloti,Europe,Spain,-16.48,28.4,20000,1998,1,36,32,1,1,2.39,0.67,lizards/0.1ha,2.03,0.78,From study,2.39,0.67,2.03,0.78,NA,5,NA,NA,150,NA,Pine forest,Unpaved road,1,0,NA
Garcia et al. 2007,121c,121c,121cr79,Reptiles,r79,Gallotia galloti,Europe,Spain,-16.48,28.4,20000,1998,1,32,32,1,1,1.25,0.67,lizards/0.1ha,1.45,0.78,From boxplot,1.25,0.67,1.45,0.78,NA,50,NA,NA,150,NA,Pine forest,Unpaved road,1,0,NA
Garcia et al. 2007,121c,121c,121cr79,Reptiles,r79,Gallotia galloti,Europe,Spain,-16.48,28.4,20000,1998,1,32,32,1,1,0.67,0.67,lizards/0.1ha,0.78,0.78,From study,0.67,0.67,0.78,0.78,NA,150,NA,NA,150,NA,Pine forest,Unpaved road,1,0,NA
Niemi & Hanowski 1984,99a,99a,99ab361,Birds,b361,Cistothorus platensis,North-America,USA,-95,48,70000,1980-1982,3,3,3,1.5,1.5,4,9.1,pairs/10ha,2.88,4.32,From min and max,4,9.1,2.88,4.32,NA,50,0,NA,175,175,Grassland,Powerline,0,1,NA
Niemi & Hanowski 1984,99a,99a,99ab361,Birds,b361,Cistothorus platensis,North-America,USA,-95,48,70000,1980-1982,3,3,3,1.5,1.5,9.1,9.1,pairs/10ha,4.32,4.32,From min and max,9.1,9.1,4.32,4.32,NA,175,175,NA,175,175,Grassland,Powerline,0,1,NA
Niemi & Hanowski 1984,99a,99a,99ab364,Birds,b364,Dolichonys oryzivorus,North-America,USA,-95,48,70000,1980-1982,3,3,3,1.5,1.5,6.6,5.3,pairs/10ha,0.53,0.66,From min and max,6.6,5.3,0.53,0.66,NA,50,0,NA,175,175,Grassland,Powerline,0,1,NA
